Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Time Slot,Day of the Week,Request Status,Trip Duration (Mins.)
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,Morning,Fri,Request Fullfilled,58.3
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,Night,Fri,Request Fullfilled,69.3
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016 06:28,Early Morning,Tue,Request Fullfilled,43
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016 13:51,Afternoon,Tue,Request Fullfilled,49
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,Morning,Wed,Request Fullfilled,50
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,Night,Wed,Request Fullfilled,52.3
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,Late Night,Thu,Request Fullfilled,53.2
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,Afternoon,Thu,Request Fullfilled,48.1
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,Night,Thu,Request Fullfilled,51.8
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,Late Night,Fri,Request Fullfilled,64
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,Morning,Fri,Request Fullfilled,46.1
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,Afternoon,Fri,Request Fullfilled,65.1
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016 20:41,Evening,Mon,Request Fullfilled,70
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016 23:12,Night,Mon,Request Fullfilled,65
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016 21:28,Evening,Tue,Request Fullfilled,49
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,Early Morning,Thu,Request Fullfilled,59.4
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,Morning,Thu,Request Fullfilled,65.8
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,Evening,Thu,Request Fullfilled,58.4
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,Morning,Fri,Request Fullfilled,50.2
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,Afternoon,Fri,Request Fullfilled,46.7
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18,Morning,Mon,Request Fullfilled,60
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016 20:30,Evening,Mon,Request Fullfilled,51
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016 09:24,Morning,Tue,Request Fullfilled,27
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016 22:20,Night,Tue,Request Fullfilled,75
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,Morning,Wed,Request Fullfilled,44.9
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,Morning,Thu,Request Fullfilled,64.4
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52,Morning,Mon,Request Fullfilled,44
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016 18:52,Evening,Mon,Request Fullfilled,66
1346,Airport,9,Trip Completed,11-07-2016 23:39,12-07-2016 00:23,Night,Mon,Request Fullfilled,44
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016 05:56,Early Morning,Tue,Request Fullfilled,43
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016 18:54,Evening,Tue,Request Fullfilled,34
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,Morning,Wed,Request Fullfilled,31.7
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,Evening,Wed,Request Fullfilled,28.3
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,Evening,Wed,Request Fullfilled,46.1
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,Night,Wed,Request Fullfilled,60
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,Early Morning,Thu,Request Fullfilled,45.4
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,Evening,Thu,Request Fullfilled,63.9
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,Early Morning,Fri,Request Fullfilled,38
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,Morning,Fri,Request Fullfilled,40.9
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016 10:01,Morning,Tue,Request Fullfilled,48
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016 16:14,Afternoon,Tue,Request Fullfilled,66
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,Morning,Wed,Request Fullfilled,65.5
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,Morning,Thu,Request Fullfilled,57.4
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,Afternoon,Thu,Request Fullfilled,39.5
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,Morning,Fri,Request Fullfilled,46.9
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,Afternoon,Fri,Request Fullfilled,71.9
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016 15:02,Afternoon,Tue,Request Fullfilled,51
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,Morning,Wed,Request Fullfilled,62.6
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,Afternoon,Wed,Request Fullfilled,39.3
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,Morning,Thu,Request Fullfilled,30.1
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,Evening,Thu,Request Fullfilled,52.3
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,Morning,Fri,Request Fullfilled,50.2
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,Morning,Fri,Request Fullfilled,51
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,Evening,Fri,Request Fullfilled,40.2
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09,Early Morning,Mon,Request Fullfilled,52
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40,Morning,Mon,Request Fullfilled,49
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016 21:38,Night,Mon,Request Fullfilled,33
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016 06:59,Early Morning,Tue,Request Fullfilled,60
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016 21:26,Evening,Tue,Request Fullfilled,68
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016 23:05,Night,Tue,Request Fullfilled,37
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,Late Night,Thu,Request Fullfilled,58.9
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,Morning,Thu,Request Fullfilled,63.8
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,Evening,Thu,Request Fullfilled,42.7
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,Morning,Fri,Request Fullfilled,67.7
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,Morning,Fri,Request Fullfilled,43
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,Evening,Fri,Request Fullfilled,41.3
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28,Early Morning,Mon,Request Fullfilled,56
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28,Morning,Mon,Request Fullfilled,64
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016 12:42,Morning,Mon,Request Fullfilled,51
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016 19:57,Evening,Mon,Request Fullfilled,42
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016 08:42,Morning,Tue,Request Fullfilled,41
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12,Morning,Wed,Request Fullfilled,63.3
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45,Early Morning,Thu,Request Fullfilled,73.3
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00,Morning,Thu,Request Fullfilled,46.9
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24,Night,Thu,Request Fullfilled,40.8
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02,Early Morning,Fri,Request Fullfilled,62.2
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41,Night,Fri,Request Fullfilled,32.6
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016 06:09,Early Morning,Mon,Request Fullfilled,48
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016 07:07,Morning,Mon,Request Fullfilled,52
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016 10:07,Morning,Tue,Request Fullfilled,43
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016 22:14,Night,Tue,Request Fullfilled,71
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55,Afternoon,Wed,Request Fullfilled,54.3
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16,Night,Thu,Request Fullfilled,30.8
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33,Evening,Fri,Request Fullfilled,58.8
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37,Night,Fri,Request Fullfilled,65
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016 20:24,Evening,Mon,Request Fullfilled,66
2675,Airport,15,Trip Completed,12-07-2016 23:43,13-07-2016 00:35,Night,Tue,Request Fullfilled,52.2
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30,Morning,Wed,Request Fullfilled,51.2
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21,Night,Wed,Request Fullfilled,29.2
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22,Morning,Thu,Request Fullfilled,39.3
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05,Evening,Thu,Request Fullfilled,30.8
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25,Afternoon,Fri,Request Fullfilled,62.9
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40,Evening,Fri,Request Fullfilled,37.8
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016 12:31,Morning,Mon,Request Fullfilled,66
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016 15:03,Afternoon,Mon,Request Fullfilled,47
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016 21:52,Evening,Mon,Request Fullfilled,62
2661,Airport,16,Trip Completed,12-07-2016 23:23,13-07-2016 00:27,Night,Tue,Request Fullfilled,64.3
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56,Early Morning,Wed,Request Fullfilled,50.9
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45,Morning,Wed,Request Fullfilled,32.6
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45,Afternoon,Wed,Request Fullfilled,73.7
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55,Night,Wed,Request Fullfilled,29.5
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46,Early Morning,Thu,Request Fullfilled,69.3
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19,Morning,Thu,Request Fullfilled,42.9
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06,Afternoon,Thu,Request Fullfilled,62.4
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53,Night,Thu,Request Fullfilled,61.9
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30,Afternoon,Fri,Request Fullfilled,79.1
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32,Evening,Fri,Request Fullfilled,59.8
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016 13:06,Afternoon,Mon,Request Fullfilled,41
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016 19:26,Evening,Mon,Request Fullfilled,61
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016 23:25,Night,Tue,Request Fullfilled,75
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26,Morning,Wed,Request Fullfilled,52.8
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39,Afternoon,Thu,Request Fullfilled,44.8
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43,Evening,Thu,Request Fullfilled,56
5367,Airport,17,Trip Completed,14-07-2016 23:35,15-07-2016 00:25,Night,Thu,Request Fullfilled,49.9
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016 05:47,Early Morning,Fri,Request Fullfilled,58.3
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016 12:55,Morning,Fri,Request Fullfilled,66.5
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016 21:00,Evening,Fri,Request Fullfilled,39.1
499,City,18,Trip Completed,11-07-2016 09:39,11-07-2016 10:16,Morning,Mon,Request Fullfilled,37
1147,Airport,18,Trip Completed,11-07-2016 20:42,11-07-2016 21:18,Evening,Mon,Request Fullfilled,36
1410,Airport,18,Trip Completed,12-07-2016 03:14,12-07-2016 04:27,Early Morning,Tue,Request Fullfilled,73
1804,Airport,18,Trip Completed,12-07-2016 09:12,12-07-2016 09:57,Morning,Tue,Request Fullfilled,45
1949,Airport,18,Trip Completed,12-07-2016 11:32,12-07-2016 12:13,Morning,Tue,Request Fullfilled,41
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016 02:37,Late Night,Wed,Request Fullfilled,50.4
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016 06:10,Early Morning,Wed,Request Fullfilled,42.2
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016 23:33,Night,Wed,Request Fullfilled,57.7
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016 17:34,Afternoon,Thu,Request Fullfilled,47.4
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016 21:56,Evening,Thu,Request Fullfilled,58.7
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016 10:55,Morning,Fri,Request Fullfilled,71.4
494,City,19,Trip Completed,11-07-2016 09:36,11-07-2016 10:02,Morning,Mon,Request Fullfilled,26
1485,City,19,Trip Completed,12-07-2016 05:21,12-07-2016 06:35,Early Morning,Tue,Request Fullfilled,74
2042,City,19,Trip Completed,12-07-2016 14:30,12-07-2016 15:09,Afternoon,Tue,Request Fullfilled,39
2561,Airport,19,Trip Completed,12-07-2016 21:29,12-07-2016 22:44,Night,Tue,Request Fullfilled,75
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016 21:46,Night,Wed,Request Fullfilled,39.5
4260,Airport,19,Trip Completed,14-07-2016 06:11,14-07-2016 06:59,Morning,Thu,Request Fullfilled,47.9
4395,City,19,Trip Completed,14-07-2016 08:00,14-07-2016 08:54,Morning,Thu,Request Fullfilled,54.4
5919,City,19,Trip Completed,15-07-2016 10:03,15-07-2016 10:59,Morning,Fri,Request Fullfilled,55.7
6002,Airport,19,Trip Completed,15-07-2016 12:04,15-07-2016 12:53,Afternoon,Fri,Request Fullfilled,49.4
468,City,20,Trip Completed,11-07-2016 09:20,11-07-2016 10:05,Morning,Mon,Request Fullfilled,45
693,Airport,20,Trip Completed,11-07-2016 13:51,11-07-2016 15:01,Afternoon,Mon,Request Fullfilled,70
1178,City,20,Trip Completed,11-07-2016 21:05,11-07-2016 22:06,Night,Mon,Request Fullfilled,61
2103,City,20,Trip Completed,12-07-2016 16:08,12-07-2016 17:18,Afternoon,Tue,Request Fullfilled,70
2292,Airport,20,Trip Completed,12-07-2016 18:46,12-07-2016 19:23,Evening,Tue,Request Fullfilled,37
3339,City,20,Trip Completed,13-07-2016 12:40,13-07-2016 13:30,Afternoon,Wed,Request Fullfilled,49.5
3694,City,20,Trip Completed,13-07-2016 19:33,13-07-2016 20:35,Evening,Wed,Request Fullfilled,61.8
4469,City,20,Trip Completed,14-07-2016 08:45,14-07-2016 09:48,Morning,Thu,Request Fullfilled,62.9
6432,City,20,Trip Completed,15-07-2016 19:50,15-07-2016 20:30,Evening,Fri,Request Fullfilled,39.1
1895,City,21,Trip Completed,12-07-2016 10:20,12-07-2016 10:52,Morning,Tue,Request Fullfilled,32
1981,Airport,21,Trip Completed,12-07-2016 12:23,12-07-2016 12:56,Afternoon,Tue,Request Fullfilled,33
3744,Airport,21,Trip Completed,13-07-2016 20:28,13-07-2016 21:22,Evening,Wed,Request Fullfilled,54.5
4433,Airport,21,Trip Completed,14-07-2016 08:26,14-07-2016 09:12,Morning,Thu,Request Fullfilled,45.5
6039,Airport,21,Trip Completed,15-07-2016 13:11,15-07-2016 13:38,Afternoon,Fri,Request Fullfilled,27
6543,City,21,Trip Completed,15-07-2016 20:54,15-07-2016 22:12,Evening,Fri,Request Fullfilled,78.3
110,City,22,Trip Completed,11-07-2016 05:05,11-07-2016 06:06,Early Morning,Mon,Request Fullfilled,61
362,City,22,Trip Completed,11-07-2016 08:01,11-07-2016 09:18,Morning,Mon,Request Fullfilled,77
666,Airport,22,Trip Completed,11-07-2016 13:02,11-07-2016 13:45,Afternoon,Mon,Request Fullfilled,43
926,City,22,Trip Completed,11-07-2016 18:28,11-07-2016 19:34,Evening,Mon,Request Fullfilled,66
1180,Airport,22,Trip Completed,11-07-2016 21:01,11-07-2016 22:14,Night,Mon,Request Fullfilled,73
1900,City,22,Trip Completed,12-07-2016 10:32,12-07-2016 11:42,Morning,Tue,Request Fullfilled,70
2506,City,22,Trip Completed,12-07-2016 21:01,12-07-2016 21:38,Night,Tue,Request Fullfilled,37
3064,City,22,Trip Completed,13-07-2016 08:02,13-07-2016 08:58,Morning,Wed,Request Fullfilled,56.7
3327,Airport,22,Trip Completed,13-07-2016 12:24,13-07-2016 13:23,Afternoon,Wed,Request Fullfilled,59
3601,City,22,Trip Completed,13-07-2016 18:39,13-07-2016 19:29,Evening,Wed,Request Fullfilled,50.1
4768,Airport,22,Trip Completed,14-07-2016 15:39,14-07-2016 16:49,Afternoon,Thu,Request Fullfilled,69.6
5142,City,22,Trip Completed,14-07-2016 20:17,14-07-2016 20:48,Evening,Thu,Request Fullfilled,31.1
5366,Airport,22,Trip Completed,14-07-2016 23:27,15-07-2016 00:19,Night,Thu,Request Fullfilled,52.5
5575,City,22,Trip Completed,15-07-2016 05:53,15-07-2016 06:50,Early Morning,Fri,Request Fullfilled,56.1
5902,City,22,Trip Completed,15-07-2016 09:52,15-07-2016 10:37,Morning,Fri,Request Fullfilled,44.1
6694,Airport,22,Trip Completed,15-07-2016 22:45,15-07-2016 23:17,Night,Fri,Request Fullfilled,32.2
523,Airport,23,Trip Completed,11-07-2016 09:48,11-07-2016 10:37,Morning,Mon,Request Fullfilled,49
747,City,23,Trip Completed,11-07-2016 15:53,11-07-2016 16:43,Afternoon,Mon,Request Fullfilled,50
1371,Airport,23,Trip Completed,12-07-2016 00:22,12-07-2016 01:33,Late Night,Tue,Request Fullfilled,71
1553,City,23,Trip Completed,12-07-2016 06:09,12-07-2016 07:09,Morning,Tue,Request Fullfilled,60
1692,Airport,23,Trip Completed,12-07-2016 07:52,12-07-2016 09:01,Morning,Tue,Request Fullfilled,69
2114,City,23,Trip Completed,12-07-2016 16:36,12-07-2016 17:21,Afternoon,Tue,Request Fullfilled,45
2742,City,23,Trip Completed,13-07-2016 03:07,13-07-2016 03:51,Early Morning,Wed,Request Fullfilled,44
4273,City,23,Trip Completed,14-07-2016 06:17,14-07-2016 07:02,Morning,Thu,Request Fullfilled,45.5
4668,City,23,Trip Completed,14-07-2016 12:25,14-07-2016 13:34,Afternoon,Thu,Request Fullfilled,69.9
5425,City,23,Trip Completed,15-07-2016 02:23,15-07-2016 03:08,Late Night,Fri,Request Fullfilled,44.6
5488,City,23,Trip Completed,15-07-2016 04:53,15-07-2016 06:00,Early Morning,Fri,Request Fullfilled,66.6
5781,City,23,Trip Completed,15-07-2016 08:35,15-07-2016 09:42,Morning,Fri,Request Fullfilled,66.7
5966,Airport,23,Trip Completed,15-07-2016 10:54,15-07-2016 11:58,Morning,Fri,Request Fullfilled,64.3
6122,City,23,Trip Completed,15-07-2016 15:26,15-07-2016 16:29,Afternoon,Fri,Request Fullfilled,63.6
357,Airport,24,Trip Completed,11-07-2016 08:00,11-07-2016 09:08,Morning,Mon,Request Fullfilled,68
1068,City,24,Trip Completed,11-07-2016 19:52,11-07-2016 20:48,Evening,Mon,Request Fullfilled,56
2689,Airport,24,Trip Completed,13-07-2016 00:34,13-07-2016 01:49,Late Night,Wed,Request Fullfilled,75.1
2791,City,24,Trip Completed,13-07-2016 04:56,13-07-2016 05:33,Early Morning,Wed,Request Fullfilled,37
3321,City,24,Trip Completed,13-07-2016 12:23,13-07-2016 13:25,Afternoon,Wed,Request Fullfilled,62.2
3423,Airport,24,Trip Completed,13-07-2016 15:52,13-07-2016 16:50,Afternoon,Wed,Request Fullfilled,58.7
3761,Airport,24,Trip Completed,13-07-2016 20:35,13-07-2016 21:39,Evening,Wed,Request Fullfilled,63.6
4140,City,24,Trip Completed,14-07-2016 04:48,14-07-2016 06:05,Early Morning,Thu,Request Fullfilled,76.9
4656,City,24,Trip Completed,14-07-2016 12:06,14-07-2016 12:49,Afternoon,Thu,Request Fullfilled,42.8
4931,Airport,24,Trip Completed,14-07-2016 18:21,14-07-2016 18:54,Evening,Thu,Request Fullfilled,32.2
5268,City,24,Trip Completed,14-07-2016 21:29,14-07-2016 22:30,Night,Thu,Request Fullfilled,60.6
5811,City,24,Trip Completed,15-07-2016 08:46,15-07-2016 09:26,Morning,Fri,Request Fullfilled,40.1
